Repository,Title,Body,Link
2019.1-ADA,Atualização do Documento de Arquitetura,"## Descrição da Issue
Atualizar alguns pontos no documento de arquitetura sendo eles o diagrama de microsserviços, modelagem de dados, e retirando tópicos sobre a Amazon.

### Tasks: 
Todas as atividades a serem realizadas devem estar elencadas em tópicos e ao serem finalizadas devem receber um check.
- [x]  diagrama de microsserviços
- [x] modelagem de dados
- [x]  retirando tópicos sobre a Amazon
",https://github.com/fga-eps-mds/2019.1-ADA/issues/305
2019.1-ADA,Configurar Cronjob,"## Descrição da Issue
Descrever a issue de forma objetiva, colocando quaisquer informações necessárias para a realização da mesma.
Caso necessário também podem ser adicionadas imagens no texto explicativo da issue.

### Tasks: 
Todas as atividades a serem realizadas devem estar elencadas em tópicos e ao serem finalizadas devem receber um check.
- [ ] Task 1
- [ ] Task 2
- [ ] Task 3

### Critérios de aceitação
Caso os critérios de aceitação já tenham sido claramente definidos pela equipe, sobretudo pelo Product Owner, acrescentá-los na forma a seguir. Caso contrário, estes devem ser adicionados em um comentário pelo PO.

- [ ] Critério de aceitação 1
- [ ] Critério de aceitação 2
- [ ] Critério de aceitação 3
",https://github.com/fga-eps-mds/2019.1-ADA/issues/304
2019.1-ADA,Resultados Sprint 13,"## Descrição da Issue

- [x] Documentação dos Resultados da Sprint 13
- [x] Documentação Post Mortem",https://github.com/fga-eps-mds/2019.1-ADA/issues/303
2019.1-ADA,Atualização de documentos,"## Descrição da Issue
Consiste na atualização e alinhamento dos documentos.

### Tasks: 
- [x] Atualizar Backlog
- [x] Subir Roadmap atualizado da R2
- [x] Atualizar quaisquer outros documentos necessários

### Critérios de aceitação
- [x] Revisado por alguém do time",https://github.com/fga-eps-mds/2019.1-ADA/issues/302
2019.1-ADA,Documento para explicação e apresentação da EVM,"## Descrição da Issue
Consiste na criação de um documento no gh-pages para apresentar e explicar a metodologia utilizada na EVM do projeto.

### Tasks: 
- [x] Atualizar EVM final
- [x] Explicar metodologia da EVM

### Critérios de aceitação
- [x] Revisado por algum membro do projeto
",https://github.com/fga-eps-mds/2019.1-ADA/issues/301
2019.1-ADA,Refatorar relatório do GitLab,"### Tasks: 

- [x] Informações do relatório corretas.
- [x] Testes unitário acima de 98%.

### Critérios de aceitação

- [x] Validação com o P.O.


",https://github.com/fga-eps-mds/2019.1-ADA/issues/298
2019.1-ADA,Atualizar Resultados das Sprints,"## Descrição da Issue
Atualizar resultados das sprints, deixando explícito situações de rotação de papéis e impressões da sprint na avaliação do Scrum Master.

### Tasks: 
- [x] Analisar os Resultados das Sprints
- [x] Rever informações relevantes não adicionadas
- [x] Adicionar informações nos documentos de Resultados das Sprints

### Critérios de aceitação

- [x] Estar condizente com o projeto",https://github.com/fga-eps-mds/2019.1-ADA/issues/295
2019.1-ADA,Atualizar a descrição de ferramentas e métricas utilizadas,"## Descrição da Issue
Adicionar e descrever os indicadores de qualidade de código já utilizados

### Tasks: 
- [x] Indicar e descrever a o codeclimate no plano de medição

### Critérios de aceitação
- [x] Descrever a ferramenta
- [x] Estar no Gh-pages",https://github.com/fga-eps-mds/2019.1-ADA/issues/294
2019.1-ADA,Atualizar o Community profile do repositório ADA-Github,"## Descrição da Issue
Adicionar documentações no repositório [ADA Github](https://github.com/fga-eps-mds/2019.1-ADA-github) recomendadas pela comunidade para dar suporte aos colaboradores.   

### Tasks: 

- [x] Adicionar Código de Conduta
- [x] Adicionar Guia de contribuição
- [x] Adicionar Template de Issue
- [x] Adicionar Template de Pull Request

### Critérios de aceitação

- [x] Estar condizente com o projeto
- [x] Guia de contribuição didático e funcional

",https://github.com/fga-eps-mds/2019.1-ADA/issues/293
2019.1-ADA,Apresentação Release 2,"## Descrição da Issue
Consiste na construção da apresentação da R2.

### Tasks: 
- [x] Levantar agenda da apresentação
- [x] Organizar conteúdo da apresentação
- [x] Criar slide de apresentação (lembrar de seguir paleta de cores)
- [x] Trazer para a master última versão estável
- [x] Realizar o deploy da última versão estável
- [x] Elaborar release e release note no repositório
- [x] Preparar gh-pages

### Critérios de aceitação
- [x] Todas as tarefas cumpridas e revisadas
",https://github.com/fga-eps-mds/2019.1-ADA/issues/292
2019.1-ADA,Lista de repositórios : pegar apenas aqueles que o usuário é colaborador,"## Descrição da Issue
Ao cadastrar um usuário no github e no gitlab, a Ada mostra para ele uma sequência de botões referentes aos repositórios dele, para que o usuário escolha um deles para ela monitorar.
Nessa issue, deve-se apresentar somente os repositórios para os quais ele é colaborador.
### Tasks: 

- [x] Task 1: Encontrar os repositórios que o usuário é colaborador;
- [x] Task 2: Atualizar os botões para apresentar esses repositórios;
- [x] Task 3: Melhorar os testes, se necessário.

### Critérios de aceitação

- [x] Fluxo de conversa validado pelo PO;
- [x] Task 1 concluída
- [x] Task 2 concluída",https://github.com/fga-eps-mds/2019.1-ADA/issues/288
2019.1-ADA,Criar explicações sobre como fazer algumas ações junto a Ada,"## Descrição da Issue
Essa issue nasce do resultado das discussões da issue #277 , originária dos testes em uso #267. Seu objetivo consiste em entregar informações caso o usuário questione a Ada sobre como realizar determinadas atividades junto a Ada, como por exemplo, como criar uma issue.

### Tasks: 
- [x] Levantar ações que precisam ser explicadas
- [x] Criar intents
- [x] Formular respostas da Ada

### Critérios de aceitação
- [x] Validado pelo PO
",https://github.com/fga-eps-mds/2019.1-ADA/issues/286
2019.1-ADA,Planejamento Sprint 13,"## Descrição da Issue
* Documentação do Planejamento da Sprint 13",https://github.com/fga-eps-mds/2019.1-ADA/issues/283
