,Repository,Title,Body,Link
10,2019.1-ADA,Lista de repositórios : pegar apenas aqueles que o usuário é colaborador,"## Descrição da Issue
Ao cadastrar um usuário no github e no gitlab, a Ada mostra para ele uma sequência de botões referentes aos repositórios dele, para que o usuário escolha um deles para ela monitorar.
Nessa issue, deve-se apresentar somente os repositórios para os quais ele é colaborador.
### Tasks: 

- [x] Task 1: Encontrar os repositórios que o usuário é colaborador;
- [x] Task 2: Atualizar os botões para apresentar esses repositórios;
- [x] Task 3: Melhorar os testes, se necessário.

### Critérios de aceitação

- [x] Fluxo de conversa validado pelo PO;
- [x] Task 1 concluída
- [x] Task 2 concluída",https://github.com/fga-eps-mds/2019.1-ADA/issues/288
11,2019.1-ADA,Criar explicações sobre como fazer algumas ações junto a Ada,"## Descrição da Issue
Essa issue nasce do resultado das discussões da issue #277 , originária dos testes em uso #267. Seu objetivo consiste em entregar informações caso o usuário questione a Ada sobre como realizar determinadas atividades junto a Ada, como por exemplo, como criar uma issue.

### Tasks: 
- [x] Levantar ações que precisam ser explicadas
- [x] Criar intents
- [x] Formular respostas da Ada

### Critérios de aceitação
- [x] Validado pelo PO
",https://github.com/fga-eps-mds/2019.1-ADA/issues/286
14,2019.1-ADA,"US40 - Eu, como usuário, desejo poder recadastrar meu repositório do Gitlab para o utilizar a Ada em outro repositório.","## Descrição da Issue
Deve-se criar métodos para o recadastramento de repositório pelo usuário, do gitlab.

### Tasks: 
- [x] Métodos para o recadastramento do repositório no Gitlab;
- [x] Fluxo de conversa de recadastramento na Ada.

### Critérios de aceitação
- [x] Recadastramento do Gitlab ocorrendo com sucesso;
- [x] Fluxo de conversa intuitivo e natural na Ada pelo telegram.
- [ ] Testes.",https://github.com/fga-eps-mds/2019.1-ADA/issues/278
15,2019.1-ADA,Revisar fluxos para incluir também intenções do estilo comando,"## Descrição da Issue
Conforme notado no #267 Teste em Uso, há vezes que desenvolvedores, acostumados a interagirem com tecnologias através de comandos, tentam replicar esse comportamento junto a Ada. Portanto, talvez seja interessante incorporar às intents tal comportamento.

### Tasks: 
- [ ] Revisar intents e incorporar comportamentos do estilo comando

### Critérios de aceitação
- [ ] Validado pelo PO
",https://github.com/fga-eps-mds/2019.1-ADA/issues/277
18,2019.1-ADA,Aprimorar fluxo de conversa de retorno de colaboradores,"## Descrição da Issue
No teste em uso realizado (#267), o fluxo de conversa quando se quer saber quem está colaborando no projeto (conforme história #234) não foi muito efetivo. O objetivo dessa issue é aprimorá-lo através de, por exemplo, criação de novas intents.

### Tasks: 
- [x] Criar novas intents para o retorno dos colaboradores

### Critérios de aceitação
- [x] Validação pelo PO do fluxo atualizado",https://github.com/fga-eps-mds/2019.1-ADA/issues/274
19,2019.1-ADA,Aprimorar ajuda da Ada,"## Descrição da Issue
Atualmente, a ajuda da Ada está desatualizada e, segundo os resultados do #267 Teste em Uso, pode ser aprimorada, guiando melhor o usuário.

### Tasks: 
- [x] Atualizar ajuda com as funcionalidades já existentes na Ada
- [x] Segundo o teste em uso, há vezes em que usuário tenta pedir coisas a Ada da maneira exata que está escrita nos tópicos da sua mensagem de ajuda. Portanto, deve-se estruturar o texto (ou adicionar intents com o texto da ajuda) para que, quando ocorrer dos usuários copiarem o tópico da mensagem, receberem a resposta adequada

> Nota: Muitas delas já funcionam da maneira que está, mas como foi identificada essa possibilidade, é importante que verifiquemos cada tópico de ajuda.

### Critérios de aceitação
- [x] Ajuda atualizada com as principais funcionalidades atuais da Ada
- [x] Ada retornar resposta adequada sempre que um pedido por enviado da maneira que está escrita na mensagem de ajuda",https://github.com/fga-eps-mds/2019.1-ADA/issues/273
23,2019.1-ADA,Melhoria no fluxo de conversa,"## Melhoria no fluxo de conversa

## Descrição da Issue


### Tasks: 

- [x] Evitar que a Ada entre em um fluxo diferente ou não entenda quando o usuário der /start e /help.
- [x] Remover slots desnecessários.
- [x] Corrigir botões de repositórios que não são enviados.

### Critérios de aceitação

- [x] Validação do fluxo de conversa com o P.O.
",https://github.com/fga-eps-mds/2019.1-ADA/issues/265
24,2019.1-ADA,"Melhorar comentário da Issue, por meio de reply","## Melhorar comentário da Issue, por meio de *reply*

## Descrição da Issue
Essa *issue* é uma melhoria da [US17](https://github.com/fga-eps-mds/2019.1-ADA/issues/227), referente ao usuário comentar em uma *issue* pela ADA. Nessa nova *issue* de melhoria, pretende-se fazer esse comentário por meio de um *reply* na mensagem de notificação de uma *issue*

### Tasks: 

- [x] Acessar a mensagem a partir da qual o *reply* foi feito para pegar o número da *issue*
- [x] Com o número da issue fazer a requisição;
- [x] Mudar a maneira de como a ADA entende a *intent*.

### Critérios de aceitação

- [x] Passar em todos os testes unitários;
- [x] Validar fluxo de conversa com o P.O;
- [x] Fazer com que a ADA comente a *issue* por meio do *reply*.
",https://github.com/fga-eps-mds/2019.1-ADA/issues/263
25,2019.1-ADA,"US39 - Eu, como usuário, desejo poder recadastrar meu repositório do Github para o utilizar a Ada em outro repositório.","## Descrição da Issue
Deve-se criar métodos para o recadastramento de repositório pelo usuário, do github.

### Tasks: 
- [x] Métodos para o recadastramento do repositório no Github;
- [x] Fluxo de conversa de recadastramento na Ada.

### Critérios de aceitação
- [x] Recadastramento do Github ocorrendo com sucesso;
- [x] Fluxo de conversa intuitivo e natural na Ada pelo telegram.
- [x] Testes.",https://github.com/fga-eps-mds/2019.1-ADA/issues/262
32,2019.1-ADA,"US25 - Eu, como usuário, desejo receber notificação de revisão de Pull Requests","## Descrição da Issue
Eu, como usuário, desejo que a Ada me notifique quando alguém solicitado realizar a revisão de um Pull Request que esteja no meu nome.
### Tasks: 
- [x] Montar fluxo de conversa no GitHub;
- [x] Tratar Json recebido de acordo com evento disparado.

### Critérios de aceitação
- [x] O usuário deve ser notificado por via do telegram;
- [x] Passar nos testes;
- [x] Fluxo de conversa validado pelo PO.",https://github.com/fga-eps-mds/2019.1-ADA/issues/248
